[2023-11-28 15:57:19.935] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27554@37981.0, ask=0.2756@38012.56, ts=2023-11-28 21:57:20.047477+00:00)
[2023-11-28 15:57:19.938] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.5597@37981.644, ask=0.2756@38012.56, ts=2023-11-28 21:57:20.047543+00:00)
[2023-11-28 15:57:38.572] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.5597@37981.644, ask=0.555846@38028.3, ts=2023-11-28 21:57:38.714746+00:00)
[2023-11-28 15:57:38.576] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27554@37981.0, ask=0.555846@38028.3, ts=2023-11-28 21:57:38.715453+00:00)
[2023-11-28 15:57:38.652] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27554@37981.0, ask=0.276@38021.246, ts=2023-11-28 21:57:38.715474+00:00)
[2023-11-28 15:57:38.658] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.8292@37976.1, ask=0.276@38021.246, ts=2023-11-28 21:57:38.715905+00:00)
[2023-11-28 15:57:38.661] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55538@37988.5, ask=0.276@38021.246, ts=2023-11-28 21:57:38.716177+00:00)
[2023-11-28 15:57:45.927] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3385@2055.6, ask=8.7317@2057.105, ts=2023-11-28 21:57:46.063497+00:00)
[2023-11-28 15:57:45.938] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7101@2055.1, ask=8.7317@2057.105, ts=2023-11-28 21:57:46.063615+00:00)
[2023-11-28 15:57:45.944] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7101@2055.1, ask=4.34432@2056.424, ts=2023-11-28 21:57:46.064082+00:00)
